USERNAME|KILLS|DEATHS|CITY|REGION|TIER POINTS
JamieClark47|179|121|Bacolod-City|Western-Visayas|1185
DakotaMartin14|472|54|Legazpi|Bicol-Region|4450
FinleyLewis65|449|200|Quezon-City|NCR|3490
TaylorThompson27|451|113|San-Fernando|Central-Luzon|3945
SkylerClark56|132|144|Quezon-City|NCR|600
EmersonSmith89|263|23|Cebu-City|Central-Visayas|2515
DrewThompson49|389|113|Dagupan|Ilocos-Region|3325
LoganMiller74|175|276|Baguio|CAR|370
SkylerAnderson19|201|88|Cagayan-de-Oro|Northern-Mindanao|1570
JamieJohnson54|473|69|Puerto-Princesa|MIMAROPA|4385
AlexThomas18|326|185|Tacloban|Eastern-Visayas|2335
RileyJohnson71|167|144|Baguio|CAR|950
ParkerGarcia10|461|138|Baguio|CAR|3920
JamieGarcia63|133|24|Manila|NCR|1210
FinleyMoore35|89|198|Puerto-Princesa|MIMAROPA|0
DrewGarcia83|294|97|Cebu-City|Central-Visayas|2455
TaylorAnderson52|52|208|Manila|NCR|0
MorganJohnson58|76|55|General-Santos|SOCCSKSARGEN|485
FinleyMiller33|84|56|Zamboanga-City|Zamboanga-Peninsula|560
AlexTaylor32|65|212|Quezon-City|NCR|0
HaydenThomas12|376|24|Dagupan|Ilocos-Region|3640
QuinnMartin41|326|152|Cebu-City|Central-Visayas|2500
AlexJackson30|120|38|Bacolod-City|Western-Visayas|1010
JordanWilliams76|285|200|Tacloban|Eastern-Visayas|1850
MorganJohnson41|103|247|Davao-City|Davao-Region|0
FinleyJackson36|418|41|Tacloban|Eastern-Visayas|3975
FinleyMartinez66|235|101|Manila|NCR|1845
MorganClark30|439|256|Manila|NCR|3110
RowanJohnson90|134|81|Tacloban|Eastern-Visayas|935
QuinnDavis93|353|137|General-Santos|SOCCSKSARGEN|2845
CaseyLewis81|216|184|Quezon-City|NCR|1240
DakotaMiller46|249|26|Legazpi|Bicol-Region|2360
MorganMoore61|171|278|Cagayan-de-Oro|Northern-Mindanao|320
EmersonMoore79|410|245|Quezon-City|NCR|2875
RowanThompson66|110|79|Manila|NCR|705
CaseyThomas42|159|199|Puerto-Princesa|MIMAROPA|595
AlexMartinez65|461|286|General-Santos|SOCCSKSARGEN|3180
AveryClark15|399|95|General-Santos|SOCCSKSARGEN|3515
QuinnBrown97|51|176|Davao-City|Davao-Region|0
ParkerWilson22|195|114|Dagupan|Ilocos-Region|1380
CameronMartinez36|465|98|General-Santos|SOCCSKSARGEN|4160
RowanWilson66|147|255|Dagupan|Ilocos-Region|195
RileyWilson63|113|246|Baguio|CAR|0
EmersonMoore94|191|110|Cebu-City|Central-Visayas|1360
AlexJackson79|368|188|Iloilo-City|Western-Visayas|2740
MorganMiller87|354|69|Puerto-Princesa|MIMAROPA|3195
JamieMoore89|202|123|Dagupan|Ilocos-Region|1405
JordanDavis52|323|196|Quezon-City|NCR|2250
CameronJackson56|53|106|Davao-City|Davao-Region|0
MorganWilliams81|243|67|Legazpi|Bicol-Region|2095
CameronHarris46|436|260|Tacloban|Eastern-Visayas|3060
ParkerWilliams35|301|25|Dagupan|Ilocos-Region|2885
ParkerAnderson36|234|278|San-Fernando|Central-Luzon|950
JamieLewis41|193|109|Davao-City|Davao-Region|1385
MorganThomas78|189|70|Manila|NCR|1540
DrewThompson15|148|154|Davao-City|Davao-Region|710
MorganLewis25|86|70|San-Fernando|Central-Luzon|510
FinleyWilson60|299|38|Tacloban|Eastern-Visayas|2800
RileyTaylor88|264|56|Quezon-City|NCR|2360
ReeseWilliams84|128|300|Iloilo-City|Western-Visayas|0
ReeseMartinez65|402|284|Baguio|CAR|2600
RileyDavis36|399|181|Puerto-Princesa|MIMAROPA|3085
RileyJohnson34|249|253|Tacloban|Eastern-Visayas|1225
CaseyHarris72|299|276|Zamboanga-City|Zamboanga-Peninsula|1610
JordanThomas77|190|45|Tacloban|Eastern-Visayas|1675
DakotaClark60|118|126|San-Fernando|Central-Luzon|550
ReeseJohnson33|292|193|San-Fernando|Central-Luzon|1955
SkylerAnderson71|152|166|General-Santos|SOCCSKSARGEN|690
SkylerWilson13|181|150|Manila|NCR|1060
LoganClark89|260|95|Cagayan-de-Oro|Northern-Mindanao|2125
ParkerMoore28|131|105|General-Santos|SOCCSKSARGEN|785
SkylerJohnson58|443|59|Cebu-City|Central-Visayas|4135
MorganMartinez64|143|184|Iloilo-City|Western-Visayas|510
SkylerSmith57|336|234|Zamboanga-City|Zamboanga-Peninsula|2190
AlexWilson34|388|58|San-Fernando|Central-Luzon|3590
RowanThompson19|379|258|Zamboanga-City|Zamboanga-Peninsula|2500
ReeseMartinez62|292|69|Puerto-Princesa|MIMAROPA|2575
RowanMoore98|384|246|Dagupan|Ilocos-Region|2610
CameronHarris17|453|32|San-Fernando|Central-Luzon|4370
MorganClark20|372|131|Manila|NCR|3065
CaseyMoore23|415|153|Davao-City|Davao-Region|3385
MorganHarris74|116|106|Bacolod-City|Western-Visayas|630
JordanDavis18|142|91|Tacloban|Eastern-Visayas|965
HaydenMoore10|445|222|Zamboanga-City|Zamboanga-Peninsula|3340
RowanWhite37|361|209|Manila|NCR|2565
CameronWhite75|134|225|Cebu-City|Central-Visayas|215
CameronAnderson46|125|262|Puerto-Princesa|MIMAROPA|0
DakotaMartin11|201|43|Bacolod-City|Western-Visayas|1795
